Order, Lambda, Accuracy,
0.0, 0.0, 1.0, 
0.0, 40.0, 1.0, 
0.0, 80.0, 1.0, 
0.0, 120.0, 1.0, 
0.0, 160.0, 1.0, 
0.0, 200.0, 1.0, 
0.0, 240.0, 1.0, 
0.0, 280.0, 1.0, 
0.0, 320.0, 1.0, 
0.0, 360.0, 1.0, 
0.0, 400.0, 1.0, 
0.0, 440.0, 1.0, 
0.0, 480.0, 1.0, 
0.0, 520.0, 1.0, 
0.0, 560.0, 1.0, 
0.0, 600.0, 1.0, 
0.0, 640.0, 1.0, 
0.0, 680.0, 1.0, 
0.0, 720.0, 1.0, 
0.0, 760.0, 1.0, 
0.0, 800.0, 1.0, 
0.0, 840.0, 1.0, 
0.0, 880.0, 1.0, 
0.0, 920.0, 1.0, 
0.0, 960.0, 1.0, 
0.0, 1000.0, 1.0, 
0.1, 0.0, 1.0, 
0.1, 40.0, 1.0, 
0.1, 80.0, 1.0, 
0.1, 120.0, 1.0, 
0.1, 160.0, 1.0, 
0.1, 200.0, 1.0, 
0.1, 240.0, 1.0, 
0.1, 280.0, 1.0, 
0.1, 320.0, 1.0, 
0.1, 360.0, 1.0, 
0.1, 400.0, 1.0, 
0.1, 440.0, 1.0, 
0.1, 480.0, 1.0, 
0.1, 520.0, 1.0, 
0.1, 560.0, 1.0, 
0.1, 600.0, 1.0, 
0.1, 640.0, 1.0, 
0.1, 680.0, 1.0, 
0.1, 720.0, 1.0, 
0.1, 760.0, 1.0, 
0.1, 800.0, 1.0, 
0.1, 840.0, 1.0, 
0.1, 880.0, 1.0, 
0.1, 920.0, 1.0, 
0.1, 960.0, 1.0, 
0.1, 1000.0, 1.0, 
0.2, 0.0, 1.0, 
0.2, 40.0, 1.0, 
0.2, 80.0, 1.0, 
0.2, 120.0, 1.0, 
0.2, 160.0, 1.0, 
0.2, 200.0, 1.0, 
0.2, 240.0, 1.0, 
0.2, 280.0, 1.0, 
0.2, 320.0, 1.0, 
0.2, 360.0, 1.0, 
0.2, 400.0, 1.0, 
0.2, 440.0, 1.0, 
0.2, 480.0, 1.0, 
0.2, 520.0, 1.0, 
0.2, 560.0, 1.0, 
0.2, 600.0, 1.0, 
0.2, 640.0, 1.0, 
0.2, 680.0, 1.0, 
0.2, 720.0, 1.0, 
0.2, 760.0, 1.0, 
0.2, 800.0, 1.0, 
0.2, 840.0, 1.0, 
0.2, 880.0, 1.0, 
0.2, 920.0, 1.0, 
0.2, 960.0, 1.0, 
0.2, 1000.0, 1.0, 
0.3, 0.0, 1.0, 
0.3, 40.0, 1.0, 
0.3, 80.0, 1.0, 
0.3, 120.0, 1.0, 
0.3, 160.0, 1.0, 
0.3, 200.0, 1.0, 
0.3, 240.0, 1.0, 
0.3, 280.0, 1.0, 
0.3, 320.0, 1.0, 
0.3, 360.0, 1.0, 
0.3, 400.0, 1.0, 
0.3, 440.0, 1.0, 
0.3, 480.0, 1.0, 
0.3, 520.0, 1.0, 
0.3, 560.0, 1.0, 
0.3, 600.0, 1.0, 
0.3, 640.0, 1.0, 
0.3, 680.0, 1.0, 
0.3, 720.0, 1.0, 
0.3, 760.0, 1.0, 
0.3, 800.0, 1.0, 
0.3, 840.0, 1.0, 
0.3, 880.0, 1.0, 
0.3, 920.0, 1.0, 
0.3, 960.0, 1.0, 
0.3, 1000.0, 1.0, 
0.4, 0.0, 1.0, 
0.4, 40.0, 1.0, 
0.4, 80.0, 1.0, 
0.4, 120.0, 1.0, 
0.4, 160.0, 1.0, 
0.4, 200.0, 1.0, 
0.4, 240.0, 1.0, 
0.4, 280.0, 1.0, 
0.4, 320.0, 1.0, 
0.4, 360.0, 1.0, 
0.4, 400.0, 1.0, 
0.4, 440.0, 1.0, 
0.4, 480.0, 1.0, 
0.4, 520.0, 1.0, 
0.4, 560.0, 1.0, 
0.4, 600.0, 1.0, 
0.4, 640.0, 1.0, 
0.4, 680.0, 1.0, 
0.4, 720.0, 1.0, 
0.4, 760.0, 1.0, 
0.4, 800.0, 1.0, 
0.4, 840.0, 1.0, 
0.4, 880.0, 1.0, 
0.4, 920.0, 1.0, 
0.4, 960.0, 1.0, 
0.4, 1000.0, 1.0, 
0.5, 0.0, 1.0, 
0.5, 40.0, 1.0, 
0.5, 80.0, 1.0, 
0.5, 120.0, 1.0, 
0.5, 160.0, 1.0, 
0.5, 200.0, 1.0, 
0.5, 240.0, 1.0, 
0.5, 280.0, 1.0, 
0.5, 320.0, 1.0, 
0.5, 360.0, 1.0, 
0.5, 400.0, 1.0, 
0.5, 440.0, 1.0, 
0.5, 480.0, 1.0, 
0.5, 520.0, 1.0, 
0.5, 560.0, 1.0, 
0.5, 600.0, 1.0, 
0.5, 640.0, 1.0, 
0.5, 680.0, 1.0, 
0.5, 720.0, 1.0, 
0.5, 760.0, 1.0, 
0.5, 800.0, 1.0, 
0.5, 840.0, 1.0, 
0.5, 880.0, 1.0, 
0.5, 920.0, 1.0, 
0.5, 960.0, 1.0, 
0.5, 1000.0, 1.0, 
0.6, 0.0, 1.0, 
0.6, 40.0, 1.0, 
0.6, 80.0, 1.0, 
0.6, 120.0, 1.0, 
0.6, 160.0, 1.0, 
0.6, 200.0, 1.0, 
0.6, 240.0, 1.0, 
0.6, 280.0, 1.0, 
0.6, 320.0, 1.0, 
0.6, 360.0, 1.0, 
0.6, 400.0, 1.0, 
0.6, 440.0, 1.0, 
0.6, 480.0, 1.0, 
0.6, 520.0, 1.0, 
0.6, 560.0, 1.0, 
0.6, 600.0, 1.0, 
0.6, 640.0, 1.0, 
0.6, 680.0, 1.0, 
0.6, 720.0, 1.0, 
0.6, 760.0, 1.0, 
0.6, 800.0, 1.0, 
0.6, 840.0, 1.0, 
0.6, 880.0, 1.0, 
0.6, 920.0, 1.0, 
0.6, 960.0, 1.0, 
0.6, 1000.0, 1.0, 
0.7, 0.0, 1.0, 
0.7, 40.0, 1.0, 
0.7, 80.0, 1.0, 
0.7, 120.0, 1.0, 
0.7, 160.0, 1.0, 
0.7, 200.0, 1.0, 
0.7, 240.0, 1.0, 
0.7, 280.0, 1.0, 
0.7, 320.0, 1.0, 
0.7, 360.0, 1.0, 
0.7, 400.0, 1.0, 
0.7, 440.0, 1.0, 
0.7, 480.0, 1.0, 
0.7, 520.0, 1.0, 
0.7, 560.0, 1.0, 
0.7, 600.0, 1.0, 
0.7, 640.0, 1.0, 
0.7, 680.0, 1.0, 
0.7, 720.0, 1.0, 
0.7, 760.0, 1.0, 
0.7, 800.0, 1.0, 
0.7, 840.0, 1.0, 
0.7, 880.0, 1.0, 
0.7, 920.0, 1.0, 
0.7, 960.0, 1.0, 
0.7, 1000.0, 1.0, 
0.8, 0.0, 1.0, 
0.8, 40.0, 1.0, 
0.8, 80.0, 1.0, 
0.8, 120.0, 1.0, 
0.8, 160.0, 1.0, 
0.8, 200.0, 1.0, 
0.8, 240.0, 1.0, 
0.8, 280.0, 1.0, 
0.8, 320.0, 1.0, 
0.8, 360.0, 1.0, 
0.8, 400.0, 1.0, 
0.8, 440.0, 1.0, 
0.8, 480.0, 1.0, 
0.8, 520.0, 1.0, 
0.8, 560.0, 1.0, 
0.8, 600.0, 1.0, 
0.8, 640.0, 1.0, 
0.8, 680.0, 1.0, 
0.8, 720.0, 1.0, 
0.8, 760.0, 1.0, 
0.8, 800.0, 1.0, 
0.8, 840.0, 1.0, 
0.8, 880.0, 1.0, 
0.8, 920.0, 1.0, 
0.8, 960.0, 1.0, 
0.8, 1000.0, 1.0, 
0.9, 0.0, 1.0, 
0.9, 40.0, 1.0, 
0.9, 80.0, 1.0, 
0.9, 120.0, 1.0, 
0.9, 160.0, 1.0, 
0.9, 200.0, 1.0, 
0.9, 240.0, 1.0, 
0.9, 280.0, 1.0, 
0.9, 320.0, 1.0, 
0.9, 360.0, 1.0, 
0.9, 400.0, 1.0, 
0.9, 440.0, 1.0, 
0.9, 480.0, 1.0, 
0.9, 520.0, 1.0, 
0.9, 560.0, 1.0, 
0.9, 600.0, 1.0, 
0.9, 640.0, 1.0, 
0.9, 680.0, 1.0, 
0.9, 720.0, 1.0, 
0.9, 760.0, 1.0, 
0.9, 800.0, 1.0, 
0.9, 840.0, 1.0, 
0.9, 880.0, 1.0, 
0.9, 920.0, 1.0, 
0.9, 960.0, 1.0, 
0.9, 1000.0, 1.0, 
1.0, 0.0, 1.0, 
1.0, 40.0, 1.0, 
1.0, 80.0, 1.0, 
1.0, 120.0, 1.0, 
1.0, 160.0, 1.0, 
1.0, 200.0, 1.0, 
1.0, 240.0, 1.0, 
1.0, 280.0, 1.0, 
1.0, 320.0, 1.0, 
1.0, 360.0, 1.0, 
1.0, 400.0, 1.0, 
1.0, 440.0, 1.0, 
1.0, 480.0, 1.0, 
1.0, 520.0, 1.0, 
1.0, 560.0, 1.0, 
1.0, 600.0, 1.0, 
1.0, 640.0, 1.0, 
1.0, 680.0, 1.0, 
1.0, 720.0, 1.0, 
1.0, 760.0, 1.0, 
1.0, 800.0, 1.0, 
1.0, 840.0, 1.0, 
1.0, 880.0, 1.0, 
1.0, 920.0, 1.0, 
1.0, 960.0, 1.0, 
1.0, 1000.0, 1.0, 
1.1, 0.0, 1.0, 
1.1, 40.0, 1.0, 
1.1, 80.0, 1.0, 
1.1, 120.0, 1.0, 
1.1, 160.0, 1.0, 
1.1, 200.0, 1.0, 
1.1, 240.0, 1.0, 
1.1, 280.0, 1.0, 
1.1, 320.0, 1.0, 
1.1, 360.0, 1.0, 
1.1, 400.0, 1.0, 
1.1, 440.0, 1.0, 
1.1, 480.0, 1.0, 
1.1, 520.0, 1.0, 
1.1, 560.0, 1.0, 
1.1, 600.0, 1.0, 
1.1, 640.0, 1.0, 
1.1, 680.0, 1.0, 
1.1, 720.0, 1.0, 
1.1, 760.0, 1.0, 
1.1, 800.0, 1.0, 
1.1, 840.0, 1.0, 
1.1, 880.0, 1.0, 
1.1, 920.0, 1.0, 
1.1, 960.0, 1.0, 
1.1, 1000.0, 1.0, 
1.2, 0.0, 1.0, 
1.2, 40.0, 1.0, 
1.2, 80.0, 1.0, 
1.2, 120.0, 1.0, 
1.2, 160.0, 1.0, 
1.2, 200.0, 1.0, 
1.2, 240.0, 1.0, 
1.2, 280.0, 1.0, 
1.2, 320.0, 1.0, 
1.2, 360.0, 1.0, 
1.2, 400.0, 1.0, 
1.2, 440.0, 1.0, 
1.2, 480.0, 1.0, 
1.2, 520.0, 1.0, 
1.2, 560.0, 1.0, 
1.2, 600.0, 1.0, 
1.2, 640.0, 1.0, 
1.2, 680.0, 1.0, 
1.2, 720.0, 1.0, 
1.2, 760.0, 1.0, 
1.2, 800.0, 1.0, 
1.2, 840.0, 1.0, 
1.2, 880.0, 1.0, 
1.2, 920.0, 1.0, 
1.2, 960.0, 1.0, 
1.2, 1000.0, 1.0, 
1.3, 0.0, 1.0, 
1.3, 40.0, 1.0, 
1.3, 80.0, 1.0, 
1.3, 120.0, 1.0, 
1.3, 160.0, 1.0, 
1.3, 200.0, 1.0, 
1.3, 240.0, 1.0, 
1.3, 280.0, 1.0, 
1.3, 320.0, 1.0, 
1.3, 360.0, 1.0, 
1.3, 400.0, 1.0, 
1.3, 440.0, 1.0, 
1.3, 480.0, 1.0, 
1.3, 520.0, 1.0, 
1.3, 560.0, 1.0, 
1.3, 600.0, 1.0, 
1.3, 640.0, 1.0, 
1.3, 680.0, 1.0, 
1.3, 720.0, 1.0, 
1.3, 760.0, 1.0, 
1.3, 800.0, 1.0, 
1.3, 840.0, 1.0, 
1.3, 880.0, 1.0, 
1.3, 920.0, 1.0, 
1.3, 960.0, 1.0, 
1.3, 1000.0, 1.0, 
1.4, 0.0, 1.0, 
1.4, 40.0, 1.0, 
1.4, 80.0, 1.0, 
1.4, 120.0, 1.0, 
1.4, 160.0, 1.0, 
1.4, 200.0, 1.0, 
1.4, 240.0, 1.0, 
1.4, 280.0, 1.0, 
1.4, 320.0, 1.0, 
1.4, 360.0, 1.0, 
1.4, 400.0, 1.0, 
1.4, 440.0, 1.0, 
1.4, 480.0, 1.0, 
1.4, 520.0, 1.0, 
1.4, 560.0, 1.0, 
1.4, 600.0, 1.0, 
1.4, 640.0, 1.0, 
1.4, 680.0, 1.0, 
1.4, 720.0, 1.0, 
1.4, 760.0, 1.0, 
1.4, 800.0, 1.0, 
1.4, 840.0, 1.0, 
1.4, 880.0, 1.0, 
1.4, 920.0, 1.0, 
1.4, 960.0, 1.0, 
1.4, 1000.0, 1.0, 
1.5, 0.0, 1.0, 
1.5, 40.0, 1.0, 
1.5, 80.0, 1.0, 
1.5, 120.0, 1.0, 
1.5, 160.0, 1.0, 
1.5, 200.0, 1.0, 
1.5, 240.0, 1.0, 
1.5, 280.0, 1.0, 
1.5, 320.0, 1.0, 
1.5, 360.0, 1.0, 
1.5, 400.0, 1.0, 
1.5, 440.0, 1.0, 
1.5, 480.0, 1.0, 
1.5, 520.0, 1.0, 
1.5, 560.0, 1.0, 
1.5, 600.0, 1.0, 
1.5, 640.0, 1.0, 
1.5, 680.0, 1.0, 
1.5, 720.0, 1.0, 
1.5, 760.0, 1.0, 
1.5, 800.0, 1.0, 
1.5, 840.0, 1.0, 
1.5, 880.0, 1.0, 
1.5, 920.0, 1.0, 
1.5, 960.0, 1.0, 
1.5, 1000.0, 1.0, 
1.6, 0.0, 1.0, 
1.6, 40.0, 1.0, 
1.6, 80.0, 1.0, 
1.6, 120.0, 1.0, 
1.6, 160.0, 1.0, 
1.6, 200.0, 1.0, 
1.6, 240.0, 1.0, 
1.6, 280.0, 1.0, 
1.6, 320.0, 1.0, 
1.6, 360.0, 1.0, 
1.6, 400.0, 1.0, 
1.6, 440.0, 1.0, 
1.6, 480.0, 1.0, 
1.6, 520.0, 1.0, 
1.6, 560.0, 1.0, 
1.6, 600.0, 1.0, 
1.6, 640.0, 1.0, 
1.6, 680.0, 1.0, 
1.6, 720.0, 1.0, 
1.6, 760.0, 1.0, 
1.6, 800.0, 1.0, 
1.6, 840.0, 1.0, 
1.6, 880.0, 1.0, 
1.6, 920.0, 1.0, 
1.6, 960.0, 1.0, 
1.6, 1000.0, 1.0, 
1.7, 0.0, 1.0, 
1.7, 40.0, 1.0, 
1.7, 80.0, 1.0, 
1.7, 120.0, 1.0, 
1.7, 160.0, 1.0, 
1.7, 200.0, 1.0, 
1.7, 240.0, 1.0, 
1.7, 280.0, 1.0, 
1.7, 320.0, 1.0, 
1.7, 360.0, 1.0, 
1.7, 400.0, 1.0, 
1.7, 440.0, 1.0, 
1.7, 480.0, 1.0, 
1.7, 520.0, 1.0, 
1.7, 560.0, 1.0, 
1.7, 600.0, 1.0, 
1.7, 640.0, 1.0, 
1.7, 680.0, 1.0, 
1.7, 720.0, 1.0, 
1.7, 760.0, 1.0, 
1.7, 800.0, 1.0, 
1.7, 840.0, 1.0, 
1.7, 880.0, 1.0, 
1.7, 920.0, 1.0, 
1.7, 960.0, 1.0, 
1.7, 1000.0, 1.0, 
1.8, 0.0, 1.0, 
1.8, 40.0, 1.0, 
1.8, 80.0, 1.0, 
1.8, 120.0, 1.0, 
1.8, 160.0, 1.0, 
1.8, 200.0, 1.0, 
1.8, 240.0, 1.0, 
1.8, 280.0, 1.0, 
1.8, 320.0, 1.0, 
1.8, 360.0, 1.0, 
1.8, 400.0, 1.0, 
1.8, 440.0, 1.0, 
1.8, 480.0, 1.0, 
1.8, 520.0, 1.0, 
1.8, 560.0, 1.0, 
1.8, 600.0, 1.0, 
1.8, 640.0, 1.0, 
1.8, 680.0, 1.0, 
1.8, 720.0, 1.0, 
1.8, 760.0, 1.0, 
1.8, 800.0, 1.0, 
1.8, 840.0, 1.0, 
1.8, 880.0, 1.0, 
1.8, 920.0, 1.0, 
1.8, 960.0, 1.0, 
1.8, 1000.0, 1.0, 
1.9, 0.0, 1.0, 
1.9, 40.0, 1.0, 
1.9, 80.0, 1.0, 
1.9, 120.0, 1.0, 
1.9, 160.0, 1.0, 
1.9, 200.0, 1.0, 
1.9, 240.0, 1.0, 
1.9, 280.0, 1.0, 
1.9, 320.0, 1.0, 
1.9, 360.0, 1.0, 
1.9, 400.0, 1.0, 
1.9, 440.0, 1.0, 
1.9, 480.0, 1.0, 
1.9, 520.0, 1.0, 
1.9, 560.0, 1.0, 
1.9, 600.0, 1.0, 
1.9, 640.0, 1.0, 
1.9, 680.0, 1.0, 
1.9, 720.0, 1.0, 
1.9, 760.0, 1.0, 
1.9, 800.0, 1.0, 
1.9, 840.0, 1.0, 
1.9, 880.0, 1.0, 
1.9, 920.0, 1.0, 
1.9, 960.0, 1.0, 
1.9, 1000.0, 1.0, 
2.0, 0.0, 1.0, 
2.0, 40.0, 1.0, 
2.0, 80.0, 1.0, 
2.0, 120.0, 1.0, 
2.0, 160.0, 1.0, 
2.0, 200.0, 1.0, 
2.0, 240.0, 1.0, 
2.0, 280.0, 1.0, 
2.0, 320.0, 1.0, 
2.0, 360.0, 1.0, 
2.0, 400.0, 1.0, 
2.0, 440.0, 1.0, 
2.0, 480.0, 1.0, 
2.0, 520.0, 1.0, 
2.0, 560.0, 1.0, 
2.0, 600.0, 1.0, 
2.0, 640.0, 1.0, 
2.0, 680.0, 1.0, 
2.0, 720.0, 1.0, 
2.0, 760.0, 1.0, 
2.0, 800.0, 1.0, 
2.0, 840.0, 1.0, 
2.0, 880.0, 1.0, 
2.0, 920.0, 1.0, 
2.0, 960.0, 1.0, 
2.0, 1000.0, 1.0, 